Name,Motherboard,Memory,Processor,Number,Date
Ravi Mani,MSI MPG Z590 Gaming Carbon WiFi,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i9-10900K,2,2023-07-19
Deepika Malhotra,ASUS Prime X570-Pro,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i9-11900K,6,2023-07-16
Lakshmi Kumar,MSI MPG Z590 Gaming Carbon WiFi,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 7 3700X,6,2023-07-18
Priya Choudhury,GIGABYTE Z490 AORUS Elite AC,HyperX Predator RGB 16GB (2 x 8GB),AMD Ryzen 7 5800X,2,2023-07-20
Karthik Sharma,ASRock X570 Taichi,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 7 5800X,3,2023-07-15
Anjali Mukherjee,ASRock X570 Taichi,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 7 3700X,1,2023-07-15
Priya Sharma,ASRock X570 Taichi,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 9 5950X,4,2023-07-19
Divya Ramanathan,ASRock Z590 Extreme WiFi 6E,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i7-11700K,5,2023-07-21
Amit Iyer,ASUS TUF B450-PLUS Gaming,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i5-11600K,3,2023-07-20
Rahul Mukherjee,ASRock Z590 Extreme WiFi 6E,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i5-11400F,6,2023-07-21
Sanjay Venkataraman,ASRock Z590 Extreme WiFi 6E,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i5-11600K,3,2023-07-18
Arjun Ramanathan,MSI MAG B460M Mortar,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 5 5600X,8,2023-07-18
Amit Venkataraman,ASUS TUF B450-PLUS Gaming,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i7-11700K,2,2023-07-17
Lakshmi Narayanan,MSI B450 TOMAHAWK MAX,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 9 5950X,1,2023-07-20
Deepika Mani,ASRock Z590 Extreme WiFi 6E,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 7 3700X,7,2023-07-16
Ganesh Mani,MSI MPG Z590 Gaming Carbon WiFi,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i7-11700K,6,2023-07-15
Deepika Sharma,ASRock B550 Steel Legend,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i5-11400F,3,2023-07-18
Anjali Mohan,ASUS ROG Strix B550-F Gaming,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 5 3600X,3,2023-07-19
Sonia Gupta,ASRock X570 Taichi,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i9-10900K,7,2023-07-15
Amit Sharma,MSI B450 TOMAHAWK MAX,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i9-11900K,2,2023-07-20
Karthik Venkataraman,GIGABYTE B550 AORUS Elite,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i5-11400F,8,2023-07-19
Swathi Subramanian,MSI MPG Z590 Gaming Carbon WiFi,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 7 5800X,5,2023-07-19
Radha Chopra,MSI MAG B460M Mortar,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i5-11600K,5,2023-07-17
Ganesh Mani,ASRock B550 Steel Legend,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i5-11600K,2,2023-07-16
Divya Chopra,ASRock Z590 Extreme WiFi 6E,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 7 3700X,3,2023-07-18
Suresh Patel,ASRock X570 Taichi,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 5 5600X,8,2023-07-15
Sonia Iyer,ASRock X570 Taichi,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 7 3700X,2,2023-07-20
Divya Subramanian,GIGABYTE X570 AORUS Ultra,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i7-11700K,2,2023-07-21
Divya Kumar,MSI MPG Z590 Gaming Carbon WiFi,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i7-10700K,5,2023-07-16
Suresh Rajaram,GIGABYTE Z490 AORUS Elite AC,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i5-11600K,8,2023-07-21
Deepika Patel,GIGABYTE Z490 AORUS Elite AC,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 5 5600X,4,2023-07-21
Meera Chopra,MSI B450 TOMAHAWK MAX,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 9 5900X,2,2023-07-21
Arjun Gupta,MSI B450 TOMAHAWK MAX,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 7 3700X,2,2023-07-20
Deepika Verma,ASRock X570 Taichi,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i9-11900K,6,2023-07-15
Prakash Ramanathan,ASUS Prime X570-Pro,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 5 3600X,8,2023-07-20
Suresh Patel,ASRock X570 Taichi,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 5 5600X,5,2023-07-15
Rahul Sharma,ASUS TUF B450-PLUS Gaming,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i7-11700K,7,2023-07-15
Lakshmi Singh,MSI B450 TOMAHAWK MAX,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i5-11600K,8,2023-07-20
Suresh Rajaram,ASUS ROG Strix B550-F Gaming,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i5-11600K,1,2023-07-17
Ravi Chopra,ASUS TUF B450-PLUS Gaming,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i9-11900K,1,2023-07-20
Amit Ramanathan,ASRock X570 Taichi,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 9 5900X,4,2023-07-19
Arjun Balakrishnan,ASRock Z590 Extreme WiFi 6E,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 9 5900X,5,2023-07-19
Amit Sharma,GIGABYTE Z490 AORUS Elite AC,HyperX Predator RGB 16GB (2 x 8GB),AMD Ryzen 5 3600X,5,2023-07-19
Swathi Gupta,ASRock Z590 Extreme WiFi 6E,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 7 5800X,4,2023-07-20
Swathi Krishnan,ASUS Prime X570-Pro,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 7 5800X,3,2023-07-18
Arjun Balakrishnan,ASRock X570 Taichi,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i9-11900K,5,2023-07-20
Priya Subramanian,GIGABYTE Z490 AORUS Elite AC,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 9 5900X,8,2023-07-21
Amit Verma,ASUS TUF B450-PLUS Gaming,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 5 5600X,2,2023-07-20
Arjun Malhotra,GIGABYTE B550 AORUS Elite,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 5 5600X,7,2023-07-18
Nithya Narayanan,ASUS ROG Strix B550-F Gaming,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 7 3700X,7,2023-07-21
Lakshmi Balakrishnan,GIGABYTE B550 AORUS Elite,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 9 5900X,4,2023-07-21
Vikram Patel,ASRock X570 Taichi,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i7-11700K,3,2023-07-16
Lakshmi Choudhury,MSI B450 TOMAHAWK MAX,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i5-11600K,4,2023-07-16
Sanjay Rajaram,MSI B450 TOMAHAWK MAX,Corsair Vengeance RGB Pro 32GB (2 x 16GB),Intel Core i9-10900K,4,2023-07-17
Nithya Singh,ASRock Z590 Extreme WiFi 6E,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i9-10900K,8,2023-07-19
Amit Verma,MSI MPG Z590 Gaming Carbon WiFi,HyperX Predator RGB 16GB (2 x 8GB),AMD Ryzen 9 5900X,4,2023-07-18
Meera Mani,ASUS TUF B450-PLUS Gaming,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i7-11700K,5,2023-07-17
Swathi Iyer,ASRock Z590 Extreme WiFi 6E,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 5 3600X,3,2023-07-15
Anjali Venkataraman,ASRock Z590 Extreme WiFi 6E,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i5-11400F,6,2023-07-18
Sonia Verma,MSI B450 TOMAHAWK MAX,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i5-11600K,3,2023-07-18
Rahul Sharma,GIGABYTE B550 AORUS Elite,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i5-11600K,7,2023-07-15
Meera Singh,MSI B450 TOMAHAWK MAX,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i7-10700K,5,2023-07-18
Karthik Choudhury,ASRock X570 Taichi,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i7-11700K,3,2023-07-18
Lakshmi Krishnan,ASUS ROG Strix B550-F Gaming,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 7 5800X,4,2023-07-19
Nithya Gupta,ASRock B550 Steel Legend,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i9-11900K,1,2023-07-17
Lakshmi Mukherjee,ASUS TUF B450-PLUS Gaming,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i5-11600K,7,2023-07-20
Amit Verma,ASRock X570 Taichi,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,4,2023-07-19
Sanjay Gupta,ASRock Z590 Extreme WiFi 6E,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i5-11600K,2,2023-07-16
Sonia Patel,ASRock X570 Taichi,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i5-11600K,1,2023-07-16
Divya Mohan,ASUS ROG Strix B550-F Gaming,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 7 5800X,1,2023-07-19
Swathi Chopra,ASUS Prime X570-Pro,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,2,2023-07-21
Deepika Sharma,GIGABYTE Z490 AORUS Elite AC,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i9-10900K,3,2023-07-19
Swathi Krishnan,MSI B450 TOMAHAWK MAX,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 7 5800X,3,2023-07-21
Anjali Malhotra,ASUS ROG Strix B550-F Gaming,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i7-10700K,5,2023-07-15
Vikram Venkataraman,ASUS Prime X570-Pro,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 5 3600X,1,2023-07-18
Suresh Sharma,MSI MAG B460M Mortar,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 5 5600X,1,2023-07-20
Vikram Ramanathan,ASRock X570 Taichi,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i9-10900K,8,2023-07-19
Rahul Chopra,MSI MPG Z590 Gaming Carbon WiFi,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i9-10900K,8,2023-07-17
Prakash Choudhury,GIGABYTE B550 AORUS Elite,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i5-11600K,3,2023-07-16
